crime_type,location,time,crime_category
Welfare Check,Trolley - La Jolla Health Station,6:26 AM,Welfare
Report of Hit and Run - No Injuries,Torrey Pines Center North,7:30 AM - 10:00 AM,Traffic
Unknown Injury Accident,Interstate 5 Northbound,8:11 AM,Welfare
Report of Vandalism,Trolley - La Jolla Heath Station,Unknown,Theft and Damage
Disturbance,Epstien Family Amphitheater,10:26 AM,Disturbance
Animal Call,Franklin Antonio Hall,10:27 AM,Other
Suspicious Vehicle,South Mesa Apartments,10:31 AM,Disturbance
Preserve the Peace,Biomedical Sciences Building,10:55 AM,Other
Incomplete/Accidental Landline 911,Brisa,11:13 AM,Non-Emergent Call or Report
Fire Alarm,Charles David Keeling Apartments 2,11:29 AM,Disturbance
Non-Injury Accident Report,Campus Services Complex Pumps,2:30 PM,Welfare
Citizen Contact,Galbraith Hall,1:58 PM,Other
Medical Aid,Brisa,2:06 PM,Welfare
Unknown Injury Accident,La Jolla Village Drive,3:00 PM,Welfare
Injury,Trolley - La Jolla Health Station,3:33 PM,Welfare
Citizen Contact,Coast Apartments,3:59 PM,Other
Citizen Assist,Applied Physics and Mathematics,4:46 PM,Other
Fire Alarm,Azad,5:39 PM,Disturbance
Assist Other Agency,Trolley - Central Campus Station,6:24 PM,Other
Report of Petty Theft,Trolley - Central Campus Station,7:00 PM - 8:00 PM,Theft and Damage
Information,Campus Emergency Services Building,7:54 PM,Non-Emergent Call or Report
Noise Disturbance,Mesa Verde Hall,7:57 PM,Disturbance
Incomplete/Accidental Landline 911,Astilla,8:50 PM,Non-Emergent Call or Report
Welfare Check,Catalyst,9:04 PM,Welfare
Burglary Alarm,Central Utilities Building Telecom,9:18 PM,Theft and Damage
Burglary Alarm,Biomedical Sciences Building,9:18 PM,Theft and Damage
Incomplete/Accidental Landline 911,Viento,9:24 PM,Non-Emergent Call or Report
Information,Piedra,9:38 PM,Non-Emergent Call or Report
Citizen Contact,Cala,10:03 PM,Other
Noise Disturbance,Catalyst,11:35 PM,Disturbance
Petty Theft - Micro Mobility Device,Pepper Canyon Hall,11:00 AM - 12:30 PM,Theft and Damage
Campus Security Authority Report (CSA),UCSD Campus,5:20 PM - 5:20 PM,Non-Emergent Call or Report
Noise Disturbance,Cala on Miramar St,4:07 AM,Disturbance
Information,East Campus Utilities Plant,6:24 AM,Non-Emergent Call or Report
Medical Aid,Cala on Miramar St,7:32 AM,Welfare
Preserve the Peace,Trolley - Central Campus Station,10:09 AM,Other
General Disturbance,Rubicon,10:19 AM,Disturbance
Citizen Contact,Geisel Library,11:21 AM,Other
Suicide,Geisel Library,11:35 AM,Welfare
Medical Aid,Koman Family Outpatient Pavilion,12:40 PM,Welfare
Medical Aid,Moore's Cancer Center,1:20 PM,Welfare
Welfare Check,Seventh College - West,2:11 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Design and Innovation Building,3:23 PM,Non-Emergent Call or Report
Hit and Run - No Injuries,North Torrey Pines Road,3:30 PM,Traffic
Psych Referral,Galbraith Hall,3:34 PM,Welfare
Medical Aid,Neptune Avenue,3:44 PM,Welfare
Suspicious Vehicle,Greenhouse Lane,4:28 PM,Disturbance
Minor Injury Accident,North Torrey Pines Road,4:51 PM,Welfare
Suspicious Circumstances,Tuolumne Apartments,5:31 PM,Disturbance
Fire Alarm,Tdlln - Sankofa,6:28 PM,Disturbance
Suicide Attempt,South Parking Structure,6:56 PM,Welfare
Noise Disturbance,One Miramar Street,7:33 PM,Disturbance
Medical Aid,Moore's Cancer Center,7:47 PM,Welfare
Information,Shank Theatre,8:02 PM,Non-Emergent Call or Report
Information,Vela on Gilman Drive,8:07 PM,Non-Emergent Call or Report
General Disturbance,Moore's Cancer Center,8:09 PM,Disturbance
Noise Disturbance,One Miramar Street,8:37 PM,Disturbance
Noise Disturbance,Cala on Miramar St,10:40 PM,Disturbance
Traffic Hazard,La Jolla Village Drive,11:04 PM,Traffic
Noise Disturbance,Matthews Apartments,11:42 PM,Disturbance
Medical Aid,Tenaya Hall,11:58 PM,Welfare
Noise Disturbance,Seventh College East,1:13 AM,Disturbance
Campus Security Authority Report (CSA),Jacobs Medical Center,12:18 AM,Non-Emergent Call or Report
Hit & Run No Injuries,Hopkins Parking,8:00 AM - 9:45 PM,Traffic
Pedestrian Stop,Trolley- Central Station,9:09 AM,Traffic
Non Injury Collision,School of Medicine Building 3,8:30 AM,Traffic
Petty Theft,Target,7:53 PM,Theft and Damage
Grand Theft,Receiving And Distribution On Trade Street,Unknown,Theft and Damage
Incomplete/ Accidental Wireless 911 Call,Geisel Library,10:22 AM,Non-Emergent Call or Report
Welfare Check,Design And Innovation Building,1:58 PM,Welfare
Incomplete/ Accidental Wireless 911 Call,Russell Lane/ Gilman Drive,2:21 PM,Non-Emergent Call or Report
Non- Participating Report,"La Mesa, California",Unknown,Non-Emergent Call or Report
Petty Theft,Asia Hall,8:00 AM - 2:00 PM,Theft and Damage
Citizen Assist,Applied Physics & Mathematics,3:25 PM,Other
Grand Theft,Geisel Library,3:56 PM,Theft and Damage
General Disturbance,Africa Hall,5:21 PM,Disturbance
Report Of Gang Or Terrorist Threat,Trolley- La Jolla Health Station,4:45 PM,Violent
Reckless Driving,Ola Parking,5:39 PM,Traffic
Preserve The Peace,Rya On Gilman Drive,5:52 PM,Other
Petty Theft,Pepper Canyon Hall,6:10 PM,Theft and Damage
Citizen Contact,Middle Earth On Scholars Drive North,7:38 PM,Other
Injury,Gilman Drive/ La Jolla Village Drive Ramp,7:57 PM,Welfare
Citizen Flag down,La Jolla Scenic Way/ La Jolla Village Drive,8:05 PM,Other
Incomplete/ Accidental Landline 911 Call,Scholars Parking Lot,8:08 PM,Non-Emergent Call or Report
Welfare Check,Center For Neutral Circuits & Behavior,8:49 PM,Welfare
Incomplete/ Accidental Landline 911 Call,Brisa On Miramar Street,9:51 PM,Non-Emergent Call or Report
Noise Disturbance,Cala On Miramar Street,10:07 PM,Disturbance
Incomplete/ Accidental Wireless 911 Call,Podemos,10:40 PM,Non-Emergent Call or Report
Illegal Camping,Parking Lot 406,10:43 PM,Disturbance
Information Only,Rita Atkinson Residences,12:08AM-12:46AM,Non-Emergent Call or Report
Noise Disturbance,Blake Hall,12:28 AM,Disturbance
Citizen Contact,Marshall Residential Life,3:46 AM,Other
Incomplete/Accidental Landline 911 Call,Kaleidoscope on Scholars Dr,4:15 AM,Non-Emergent Call or Report
Suspicious Person,Medical Education and Telemedicine,11:11 AM,Disturbance
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,11:15AM-11:40AM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,Genesee Avenue,12:09 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Ridge walk Academic,1:37 PM,Non-Emergent Call or Report
Suspicious Person,Center Hall,3:15PM,Disturbance
Incomplete/Accidental Wireless 911 Call,Parking Lot P508,3:35 PM,Non-Emergent Call or Report
Missing Person,Tdlln - Sankofa,4:30 PM,Welfare
Sexual Battery,Trolley - Central Campus Station,4:32 PM,Violent
Petty Theft,Matthews Apartments,4:35 PM,Theft and Damage
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,4:36 PM,Non-Emergent Call or Report
Suspicious Vehicle,Mesa Apartments South,5:24 PM,Disturbance
Preserve the Peace,Rya on Gilman,6:01 PM,Other
Noise Disturbance,Epstein Family Amphitheater,7:17 PM,Disturbance
Information,Shank Theatre,7:28 PM,Non-Emergent Call or Report
Petty Theft,Geisel Library,6:30PM-7:10PM,Theft and Damage
Incomplete/Accidental Landline 911 Call,Tapestry on Scholars,10:16 PM,Non-Emergent Call or Report
Noise Disturbance,Seventh College - East,11:11 PM,Disturbance
Welfare Check,Tdlln - Azad,11:11 PM,Welfare
Noise Disturbance,Atlantis Hall,11:31 PM,Disturbance
Petty Theft,Gilman Drive,5:20PM-8:00PM,Theft and Damage
Petty Theft,Target,7:56PM-7:58PM,Theft and Damage
Noise Disturbance,Cresta On Miramar Street,12:26 AM,Disturbance
Suspicious Person,Catalyst On Drive North,12:26 AM,Disturbance
Incomplete/ Accidental Landline 911,Triton Center On Gilman Drive,12:37 AM,Non-Emergent Call or Report
Suicide Attempt,Tuolumne Apartments On Scholars Lane,12:50 AM,Welfare
Medical Aid,Pulse On Scholars Drive South,1:05 AM,Welfare
Noise Disturbance,Podemos On Scholars Drive South,1:08 AM,Disturbance
Incomplete/ Accidental Landline 911,UC San Diego On Gilman Drive,1:35 AM,Non-Emergent Call or Report
Citizen Flag down,Joan And Irwin Jacobs La Jolla Playhouse,1:57 AM,Other
Incomplete/ Accidental Wireless 911,Mesa Apartments South,1:04 AM,Non-Emergent Call or Report
Party Disturbance,Blake Hall On Scholars Drive South,1:32 AM,Disturbance
Information,Mesa Apartments Central,4:15 AM,Non-Emergent Call or Report
Information,UC San Diego On Gilman Drive,8:32 AM,Non-Emergent Call or Report
Incomplete/ Accidental Wireless 911,Sally T Wongavery Library On Biomedical Sciences Way,11:45 AM,Non-Emergent Call or Report
Medical Aid,Regents Rd,12:08 PM,Welfare
Welfare Check,Seventh College,12:20 PM,Welfare
Citizen Contact,Vela On Gilman Dr,2:55 PM,Other
Fraud,Cala On Miramar Street,2:57 PM,Theft and Damage
Theft,RIMAC,7:30 PM - 1:30 PM,Theft and Damage
Grand Theft-Micro Mobility Device,UCSD Trolley Central Campus Station,8:00 AM - 3:00 PM,Theft and Damage
Grand Theft-Micro Mobility Device,Discovery Hall,12:00 AM - 1:35 PM,Theft and Damage
Welfare Check,La Jolla Shores,3:28 PM,Welfare
Welfare Check,Price Center West,3:42 PM,Welfare
Ticket Sign Off,Campus Emergency Services Building On Greenhouse Lane,5:55 PM,Traffic
Security Alarm,Leichtag Family Foundation Biomed Research On Gilman Dr.,7:17 PM,Disturbance
Illegal Parking,Parking Lot P203 On Scholars Drive South,8:36 PM,Traffic
UC Policy Violation,Vela On Gilman Drive South,9:46 PM,Other
Report Of Petty Theft- Micro Mobility Device,Geisel Library,4:00 PM - 3:50 PM,Theft and Damage
Report Of Petty Theft- Micro Mobility Device,Trolley- Central Campus Station On Innovation Lane,7:30 pm - 10:30PM,Theft and Damage
Noise Disturbance,Goldberg Apartments On Equality Lane,11:43 PM,Disturbance
UCSD Hillcrest,Bike Theft,11/2/2024,Other
Noise Disturbance,Stewart Hall,12:15 AM,Disturbance
Citizen Assist,Pangea Drive,12:45 AM,Other
Incomplete/Accidental Landline 911 Call,Kaleidoscope,12:47 AM,Non-Emergent Call or Report
Party Disturbance,Tdlln - Podemos,1:05 AM,Disturbance
Incomplete/Accidental Landline 911 Call,Kaleidoscope,2:15 AM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Kaleidoscope,2:31 AM,Non-Emergent Call or Report
Medical Aid,Tapestry,2:39AM-3:11AM,Welfare
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,7:45 AM,Non-Emergent Call or Report
Information,Parking Lot P506,8:31 AM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Russell Lane,8:43 AM,Non-Emergent Call or Report
Grand Theft,Price Center Plaza,9:13 AM,Theft and Damage
General Disturbance,Rya,10:27 AM,Disturbance
Noise Disturbance,Pangea Parking,11:42 AM,Disturbance
Incomplete/Accidental Wireless 911 Call,Gilbert Drive,11:49 AM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Thornton Pavilion,12:35 PM,Non-Emergent Call or Report
Animal Call,Birch Aquarium,12:35 PM,Other
Suspicious Person,Muir Quad,12:39 PM,Disturbance
Incomplete/Accidental Landline 911 Call,John's Place and Market,1:22 PM,Non-Emergent Call or Report
General Disturbance,One Miramar Street,1:48 PM,Disturbance
General Disturbance,Muir Field,3:48 PM,Disturbance
General Disturbance,Muir Field,3:52 PM,Disturbance
General Disturbance,Tdlln - Pulse,4:05 PM,Disturbance
Incomplete/Accidental Landline 911 Call,Brisa on Miramar Street,4:32 PM,Non-Emergent Call or Report
Suspicious Person,Seventh College West,6:03 PM,Disturbance
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,6:17 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Astilla on Miramar St,6:56 PM,Non-Emergent Call or Report
Welfare Check,Vela on Gilman Drive,6:57 PM,Welfare
Property Damage,Seventh College West,7:05PM-7:32PM,Theft and Damage
Incomplete/Accidental Landline 911 Call,Student Health and Wellness,8:12 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Parking lot P415,9:08 PM,Non-Emergent Call or Report
Attempt to Contact,Blake Hall,9:55 PM,Other
Hazard Situation,Campus Point Drive,10:22 PM,Other
Attempt to Contact,Muir Lane,11:45 PM,Other
Tamper with Fire Alarm,Scholars Parking,11:52PM-12:42AM,Disturbance
Noise Disturbance,Scholars Drive,11:53 PM,Disturbance
Petty Theft - Micro Mobility Device,Central Campus,8:00AM-3:00PM,Theft and Damage
Noise Disturbance,Marshall Upper Apartments J,12:11 AM,Disturbance
Party Disturbance,Seventh College West #3,12:19 AM,Disturbance
Drunk in Public,Seventh College West #3,12:32 AM,Drugs
Welfare Check,Vela,12:53 AM,Welfare
Welfare Check,Roots,1:01 AM,Welfare
Traffic Hazard,La Jolla Village/Interstate 5 North bound,1:22 AM,Traffic
Noise Disturbance,Middle East Hall,2:01 AM,Disturbance
Citizen Contact,Warren Lawn,3:04 AM,Other
Noise Disturbance,Brennan Hall,4:11 AM,Disturbance
Trespass,Price Center East,4:38 AM,Disturbance
Burglary Alarm,Isaacs Hall,6:38 AM,Theft and Damage
Suspicious Vehicle,Munk House,7:00 AM,Disturbance
Welfare Check,Stein Clinical Research Bldg.,7:24 AM,Welfare
Incomplete/Accidental Landline 911,Mosaic,7:58 AM,Non-Emergent Call or Report
Reckless Driving,Regents Road,8:07 AM,Traffic
Incomplete/Accidental Landline 911,Design and Innovation Building,9:55 AM,Non-Emergent Call or Report
Report of Hit and Run - No Injuries,Jacobs Medical Center,10:08 AM,Traffic
Injury,Scholars Drive North/Exploration,11:18 AM,Welfare
Injury,Scholars Drive North/Exploration,11:24 AM,Welfare
Psych Subject Disturbance,Price Center East,11:52 AM,Disturbance
Incomplete/Accidental Landline 911,Scholars Parking Structure,12:04 PM,Non-Emergent Call or Report
Welfare Check,Pangea Parking Structure,12:19 PM,Welfare
Medical Aid,Price Center West,12:21 PM,Welfare
Welfare Check,Tuolumne Apartments,12:33 PM,Welfare
Fire Alarm,Arena,1:21 PM,Disturbance
Report of Hit and Run - No Injuries,Torrey Pines Gliderport,1:30 PM,Traffic
Report of Petty Theft - Micro Mobility Device,Triton Statue,7:00 PM - 8:40 PM,Theft and Damage
Triton CORE,Campus Emergency Services Building,2:51 PM,Other
Medical Aid,Rebecca and John Moores Cancer Center,4:04 PM,Welfare
Report of Petty Theft,Douglas Hall,4:38 PM,Theft and Damage
Suspicious Vehicle,Parking Lot P016,4:47 PM,Disturbance
Incomplete/Accidental Wireless 911,Veterans Affairs Medical Center,4:51 PM,Non-Emergent Call or Report
Medical Aid,Nobel Drive,5:29 PM,Welfare
Medical Aid,Lyman Lane,5:58 PM,Welfare
Criminal Threat,Rya,8:19 PM,Violent
Injury,Marshall Upper Apartments G,8:59 PM,Welfare
Citizen Contact,Kaleidoscope,10:25 PM,Other
Attempt to Contact,Rita Atkinson Residences,10:38 PM,Other
Party Disturbance,Kaleidoscope,10:52 PM,Disturbance
Suspicious Person,Cala,10:49 PM,Disturbance
Citizen Contact,Cala,11:01 PM,Other
Report of Petty Theft - Mirco Mobility Device,Blake Hall,8:30 PM - 12:00 AM,Theft and Damage
Report of Petty Theft - Micro Mobility Device,Beagle Hall,5:00 AM - 5:40 AM,Theft and Damage
Report of Petty Theft - Micro Mobility Device,Geisel Library,4:00 PM - 3:50 PM,Theft and Damage
Medical Aid,Seventh College West,12:19 AM,Welfare
Medical Aid,Brown Hall,1:08 AM,Welfare
Noise Disturbance,Viento,2:22 AM,Disturbance
Noise Disturbance,Argo Hall,2:49 AM,Disturbance
Trespass,Price Center East On Matthews Lane,4:07 AM,Disturbance
Security Alarm,GPS On Russell Lane,6:16 AM,Disturbance
Incomplete/ Accidental Wireless 911,Vela On Gilman Drive,6:30 AM,Non-Emergent Call or Report
False Alarm,Tenaya Hall,8:17 AM,Disturbance
Fraud,Cala AT Miramar Street,Unknown,Theft and Damage
Welfare Check,Tapestry On Scholars Drive North,9:20 AM,Welfare
Assist Other Agency,Gilman Drive/ Russell Lane,9:39 AM,Other
Incomplete/ Accidental Wireless 911 Call,Peterson Hall On Muir Lane,10:55 AM,Non-Emergent Call or Report
Hit & Run Collision,One Miramar Street,12:38 PM,Traffic
Report Of Gang Or Terrorist Threat,Student Services Center On Russell Lane,12:57PM - 14:29PM,Violent
Vandalism,Torrey Pines Center South,10:00 AM - 10:00 AM,Theft and Damage
Incomplete/ Accidental Wireless 911 Call,Medical Center Switching Station,1:22 PM,Non-Emergent Call or Report
Incomplete/ Accidental Wireless 911 Call,Powell-Focht Bioengineering Hall,2:01 PM,Non-Emergent Call or Report
Minor Injury Collision,Atkinson Hall On Voigt Drive,2:20 PM,Traffic
Non Injury Collision,George Palade Laboratories,2:37 PM,Traffic
Security Alarm,Student Health & Wellness Center,3:12 PM,Disturbance
Information Only,UC San Diego Campus,3:18 PM,Non-Emergent Call or Report
Minor Injury Accident,Parking Lot P112,8:50 AM,Welfare
Simple Assault,UCSD Alvarado Road,9:00 PM,Violent
Security Alarm,Powell-Focht Bioengineering Hall,4:15 PM,Disturbance
Trespass,Matthews Lane / Voigt Drive,4:25 PM,Disturbance
Security Alarm,Student Services Center,4:52 PM,Disturbance
Tampering With A Vehicle,Campus Point Parking West,3:45 PM - 5:30 PM,Theft and Damage
Citizen Flag down,Cuzco House,5:37 PM,Other
Information,Gilman Drive/ Library Walk,5:43 PM,Non-Emergent Call or Report
Medical Aid,Black's Beach On Blacks Beach Way,6:09 PM,Welfare
Security Alarm,Communication Building On Exploration Drive,6:50 PM,Disturbance
Suspicious Person,La Jolla Del Sol Apartments,7:10 PM,Disturbance
Suspicious Vehicle,Pangea Parking,7:36 PM,Disturbance
Incomplete/ Accidental Landline 911,Catalyst On Scholars Drive North,8:12 PM,Non-Emergent Call or Report
Fire Alarm,Pulse On Scholars Drive South,9:48 PM,Disturbance
Suspicious Person,Rita Atkinson Residences,10:00 PM,Disturbance
Citizen Contact,Cala At Miramar Street,10:05 PM,Other
Incomplete/ Accidental Wireless 911,Robinson Building 2,10:12 PM,Non-Emergent Call or Report
Citizen Contact,Sankofa On Scholars Drive South,10:12 PM,Other
Alcohol Contact,Tapestry,10:26 PM,Drugs
Alcohol Contact,Brennan Apartments,10:30 PM,Drugs
Possession Of Marijuana,Tamarack Apartments,10:45 PM,Drugs
Noise Disturbance,Charles David Keeling Apartments,11:12 PM,Disturbance
Noise Disturbance,Latin America Hall,11:15 PM,Disturbance
Party Disturbance,Seventh College West,11:27 PM,Disturbance
Welfare Check,Sankofa On Scholars Drive South,23:44 PM - 12:31 AM,Welfare
General Disturbance,Price Center On Lyman Walk,11:57 PM,Disturbance
Citizen Contact,Vela At Gilman Drive,11:59 PM,Other
Simple Assault,UCSD Medical Center - Hillcrest,5:00 PM,Violent
Information,Tapestry,12:09 AM,Non-Emergent Call or Report
Injury,Pepper Canyon Apartments 400,4:58 AM,Welfare
Illegal Camping,Neighborhood - SIO,6:50 AM,Disturbance
Information,Astilla,7:35 AM,Non-Emergent Call or Report
Traffic Hazard,Downwind Way/Expedition Way,7:38 AM,Traffic
Information,Parking Lot P785,8:24 AM,Non-Emergent Call or Report
Non-Injury Accident,Theatre District Parking Structure,8:24 AM,Welfare
Medical Aid,Shiley Eye Center,10:28 AM,Welfare
Panic/Silent Alarm,ERC Administration North,10:33 AM,Disturbance
Medical Aid,Applied Physics and Mathematics,12:07 PM,Welfare
Campus Security Authority Report (CSA),Pepper Canyon East,Unknown,Non-Emergent Call or Report
Non-Injury Accident,Igpp - Munk Laboratory,1:00 PM,Welfare
Citizen Contact,Campus Emergency Services Building,1:18 PM,Other
Suspicious Person,Cognitive Sciences Building,5:16 PM,Disturbance
Fire Alarm,Pepper Canyon Apartments 100,5:50 PM,Disturbance
Psych Subject Disturbance,Trolley - La Jolla Health Station,6:08 PM,Disturbance
Traffic Hazard,Genesee Avenue/Campus Point Drive,6:30 PM,Traffic
Report of Grand Theft - Micro Mobility Device,Club Med,2:00 PM - 7:00 PM,Theft and Damage
Report of Petty Theft - Micro Mobility Device,Target,5:00 PM - 6:45 PM,Theft and Damage
Medical Aid,George Palade Laboratories for CMMW,7:29 PM,Welfare
Medical Aid,Rebecca and John Moores Cancer Center,8:12 PM,Welfare
Campus Security Authority Report (CSA),W Arbor Drive,7:45 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911,Design and Innovation Building,8:21 PM,Non-Emergent Call or Report
Welfare Check,Design and Innovation Building,10:09 PM,Welfare
Citizen Contact,Cala,10:10 PM,Other
Possession of Marijuana,Charles David Keeling Apartments 3,10:36 PM,Drugs
Found Property,Tierra,10:58 PM,Theft and Damage
Medical Aid,Africa hall,11:13 PM,Welfare
Welfare Check,Tamarack Apartments,11:14 PM,Welfare
Information,Mandeville Center,11:58 PM,Non-Emergent Call or Report
Noise Disturbance,North America Hall,11:59 PM,Disturbance
Noise Disturbance,TDLLN - Sankofa,12:32 AM,Disturbance
Noise Disturbance,TDLLN - Sankofa,12:32 AM,Disturbance
Medical Aid,Tapestry,12:49 AM,Welfare
Noise Disturbance,Middle East Hall,1:04 AM,Disturbance
Noise Disturbance,Meteor Hall,1:56 AM,Disturbance
Noise Disturbance,Parking Lot P504,2:10 AM,Disturbance
Domestic Violence Assault/ Vandalism,UCSD Residential Area,2:39 AM - 3:09 AM,Theft and Damage
Petty Theft - Micro Mobility Device,Parking Lot P602,6:00 AM - 6:30 AM,Theft and Damage
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Road,9:07 AM,Non-Emergent Call or Report
Medical Aid,Genesee Avenue,9:42 AM,Welfare
Information Only Report,UCSD Risk Management,9:48 AM,Non-Emergent Call or Report
Petty Theft,8614 Kennel Way - Lifeguard Tower,7:20 AM - 8:10 AM,Theft and Damage
Welfare Check,ACTRI,10:36 AM,Welfare
Incomplete/ Accidental Landline 911 Call,Viento,1:15 PM,Non-Emergent Call or Report
Petty Theft,Vela,Unknown,Theft and Damage
Welfare Check,Science & Engineering Research Facility,1:56 PM,Welfare
Suspicious Person,Library Walk,2:22 PM,Disturbance
Welfare Check,Student Services Center,3:00 PM,Welfare
Welfare Check,Trolley- La Jolla Health Station,3:06 PM,Welfare
Suspicious Person,Gilman Parking,3:17 PM,Disturbance
Incomplete / Accidental Wireless 911 Call,Solis Hall,3:23 PM,Non-Emergent Call or Report
Welfare Check,Preuss School,4:20 PM,Welfare
Injury,Main Gymnasium,4:45 PM,Welfare
Petty Theft - Micro Mobility Device,Main Gymnasium,3:30PM - 3:55 PM,Theft and Damage
Grand Theft / Vandalism,Trolley- Central Campus Station,7:00 PM - 5:11 PM,Theft and Damage
Medical Aid,Trolley-La Jolla Health Station,5:37 PM,Welfare
Information,UC San Diego Campus,5:45 PM,Non-Emergent Call or Report
Petty - Micro Mobility Device,Pepper Canyon Apartments,3:15 PM - 5:20 PM,Theft and Damage
Fraud,3869 Miramar Street,12:53 PM - 6:21 PM,Theft and Damage
Fire Alarm,TDLLN - Survivance,7:16 PM,Disturbance
Suspicious Person,Social Sciences Building,7:24 PM,Disturbance
Petty Theft - Micro Mobility Device,Pepper Canyon East Apartments,Unknown,Theft and Damage
Incomplete/ Accidental Wireless 911 Call,Marshall Upper Apartments,8:30 PM,Non-Emergent Call or Report
Petty Theft- Micro Mobility Device,Price Center West - Starbucks,8:15 PM - 8:45 PM,Theft and Damage
UC Policy Violation,Tapestry,9:20 PM,Other
Vandalism To Vehicle,Pangea Parking Lot,2:00 PM - 3:30 PM,Theft and Damage
Quiet Hours Contact,Kaleidoscope - Basketball Courts,11:08 PM,Disturbance
Noise Disturbance,Seventh College West #6,11:18 PM,Disturbance
Welfare Check,Parking Lot P702,11:27 PM,Welfare
Mental Health Detention,Price Center West,11:45 PM - 12:35 AM,Welfare
Welfare Check,Canyon Vista,11:57 PM,Welfare
Theft,UCSD Medical Center - Hillcrest,3:40 PM,Theft and Damage
Noise Disturbance,Viento,12:56 AM,Disturbance
Suspicious Person,Pepper Canyon North Laundry,1:28 AM,Disturbance
Noise Disturbance,Catalyst,1:56 AM,Disturbance
Information,Tioga Hall,1:57 AM,Non-Emergent Call or Report
Medical Aid,Brennan Hall,2:45 AM,Welfare
Suspicious Person,Parking Lot P402,3:51 AM,Disturbance
Campus Security Authority Report (CSA),Thornton Pavilion,3:30 AM,Non-Emergent Call or Report
Disturbance,Mandeville Center,7:26 AM,Disturbance
Medical Aid,Rebecca and John Moores Cancer Center,8:44 AM,Welfare
Fire Alarm,Survivance,9:05 AM,Disturbance
Lost Property,Rebecca and John Moores Cancer Center,9:20 AM,Theft and Damage
Psych Subject Disturbance,Survivance,9:44 AM,Disturbance
Medical Aid,Radiation Oncology Center,10:43 AM,Welfare
Report - Non Crime,Scholander Hall,10:57 AM,Non-Emergent Call or Report
Found Property,Geneva Hall,11:15 AM,Theft and Damage
Incomplete/Accidental Wireless 911,Genesee Avenue,11:16 AM,Non-Emergent Call or Report
Illegal Parking,Pharmacy Lane,11:41 AM,Traffic
Incomplete/Accidental Wireless 911,Genesee Avenue,12:13 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911,Genesee Avenue,12:14 PM,Non-Emergent Call or Report
Citizen Contact,UCSD Police Department,12:23 PM,Other
Petty Theft - Micro Mobility Device,Campus Emergency Services Building,3:00 PM - 9:00 AM,Theft and Damage
Incomplete/Accidental Wireless 911,Genesee Avenue,12:47 PM,Non-Emergent Call or Report
Campus Security Authority Report (CSA),Graduate & Family Housing,Evening,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911,Design and Innovation Building,1:02 PM,Non-Emergent Call or Report
Citizen Assist,Library Walk,1:08 PM,Other
Incomplete/Accidental Landline 911,Catalyst,1:22 PM,Non-Emergent Call or Report
Report - Non Crime,Pharmacy Lane,2:30 PM - 6:00 AM,Non-Emergent Call or Report
Report - Non Crime,Fleet Services,1:28 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911,Regents Road/Regents Park Row,2:19 PM,Non-Emergent Call or Report
Report of Petty Theft - Micro Mobility Device,Center Hall,2:00 PM - 2:45 PM,Theft and Damage
Welfare Check,Rita Atkinson Residences,6:46 PM,Welfare
Petty Theft - Micro Mobility Device,Mandeville Center,2:00 PM - 3:20 PM,Theft and Damage
Incomplete/Accidental Wireless 911,Regents Road/Regents Park Row,3:33 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911,Russell Lane/Gilman Drive,3:55 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911,North Torrey Pines Road,3:55 PM,Non-Emergent Call or Report
Citizen Assist,Marine Conservation and Technology Facility,4:45 PM,Other
Injury,Pangea Parking Structure,5:04 PM,Welfare
Incomplete/Accidental Landline 911,Theatre District Parking Structure,5:26 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911,Mosaic,5:30 PM,Non-Emergent Call or Report
Petty Theft - Bicycle,Catalyst,6:00 PM - 5:15 PM,Theft and Damage
Fire Alarm,Sankofa,6:45 PM,Disturbance
Petty Theft,Rimac,7:03 PM,Theft and Damage
Petty Theft - Micro Mobility Device,Sally T. Wongavery Library,5:40 PM - 7:40 PM,Theft and Damage
Petty Theft - Micro Mobility Device,Harlan Hall,3:00 PM - 4:50 PM,Theft and Damage
Welfare Check,Rita Atkinson Residences,9:26 PM,Welfare
Missing Person,Survivance,11:06 PM,Welfare
